V1,V2,class
-0.463769234268257,-0.7996222418702741,2
-0.94675794816176,-1.0960618705724101,2
-0.99034651681638,-1.1965189308381299,2
1.3942431751982,0.639102808545176,1
-1.08813788151822,-1.0517896717505602,2
-1.1068944603356101,-0.741541240229951,2
1.32716231260833,0.632241402947639,1
0.464572943816808,1.03676236399078,1
-1.07173479862645,-1.5193191011829799,2
0.9218272892019109,1.02364976899179,1
-0.860407858157893,-1.17601883990057,2
-1.44135695262737,-1.1425087451221498,2
-1.52339326991562,-0.666137790520615,2
-1.11995365753797,-0.803896494372635,2
-0.8551342808156469,-1.18112858491736,2
0.8427016671994599,1.05208069250186,1
1.14414464355453,0.9645328674104241,1
-0.943820440699735,-1.0216022397449,2
1.12345252094073,0.626795066602296,1
1.62247153531305,0.343603555319677,1
0.26384547829304394,2.03513986762312,1
1.69129030057311,1.2947044773893701,1
1.2378442862872099,0.7534148196581391,1
0.762684481829891,1.65241356125943,1
-1.02750839137885,-0.5143412323086911,2
-1.23135368543556,-1.3553717676619899,2
-1.06824353823382,-0.9317715423777742,2
-0.7406904209185821,-0.8854719391426089,2
1.57967194898182,0.7825225681231719,1
-1.22329184195135,-1.10840798355969,2
-0.5842982562607371,-0.5212616839801351,2
0.9733118209799771,0.7571892621744959,1
1.26164690251922,0.7030870171609971,1
1.21764656029409,1.2645614546413202,1
1.52129875312922,0.8066531921194041,1
-1.2525474895086002,-1.27138123766472,2
0.922102673957634,1.142816263949,1
1.00878698602029,1.13791475365283,1
-0.985365573254243,-0.8612021727664492,2
0.406393331109145,0.650657329795119,1
-1.6524258221053298,-0.556918626452223,2
0.6269944082294829,1.26609184159025,1
-1.28658560855842,-1.2549205766103602,2
-0.946464215672837,-1.57888613890011,2
-1.2205924148749199,-1.2385079987069099,2
-1.00595047764786,-0.933085107447958,2
0.932353567771897,1.37016899032655,1
-0.8057239982653391,-1.1633340334098798,2
1.08459305507623,1.14202978514739,1
1.25567926846416,0.6766222976352839,1
-0.678474676286434,-0.908179714620353,2
-0.962389831448318,-1.28992741218012,2
0.968517081587934,1.4227778572641199,1
-0.61536711532934,-1.28579024731622,2
-0.9957052214308729,-1.14800410939859,2
-1.5056868382182398,-0.6055985313178289,2
1.26740649749033,1.01177811483336,1
1.2951506514369198,0.9511631857133059,1
0.770369086023658,1.11513190233512,1
-0.844158596681952,-1.39602831661646,2
-1.02768381560512,-1.28486609217439,2
1.1015301917391498,1.0043820651152,1
1.11886057119285,0.984192864333479,1
-0.995742011962053,-1.48092499625037,2
-1.19754843806118,-0.915813450498609,2
-1.09226611670623,-0.6741621775677601,2
-1.4656902684960202,-0.746201792752755,2
1.53004460401625,1.30008077538439,1
1.49623659457564,0.860742046783684,1
-0.842591592724739,-1.04707150950406,2
0.779819740090604,1.58589636323132,1
-0.7186923499963699,-1.4465385670992699,2
0.264680516985207,1.71757470563828,1
-0.53708381966369,-1.1496835896111202,2
1.05669290854092,0.816469265820938,1
-1.14809191804258,-0.9823482628270699,2
1.26607434243902,0.9943997283088849,1
-0.503300335290648,-0.6505528244018101,2
-0.8885342081384592,-1.1176275456671299,2
-1.05768034927225,-1.14559211497897,2
0.7941934345227191,1.3251301106741398,1
-0.7227748861392571,-1.00269260009581,2
-1.3370832200599299,-1.57818331046316,2
-0.9379213129869209,-1.05563149780777,2
-1.08826700027186,-1.25881143699729,2
-0.735297428702889,-1.27165189478375,2
-0.79405132276371,-1.1706660127031598,2
0.422609736851252,1.43202228088456,1
1.30425093281311,0.896704504280568,1
-0.27382175658859903,-1.43864795239187,2
-1.17730991397752,-0.791162762330532,2
0.325973021195688,1.0475630488916998,1
0.9296747379593259,1.7017829148163302,1
