Row,kDN,DS,DCP,TD_P,TD_U,CL,CLD,MV,CB,N1,N2,LSC,LSR,Harmfulness,Usefulness
1,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,-1.436434475656,0,-1.99907095386285,0,1.01716028905068
2,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,0.57283233705415,0,-0.259826779611879,0,1.01716028905068
3,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,-0.244036004269575,0,0.0584389536545786,0,0.982681850125704
4,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,0.359348919902682,0,0.466714448696556,0,-1.10225324555658
5,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,1.36077517517676,0,-0.0334710933299379,0,0.982681850125704
6,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,-0.875953696539783,0,-0.665429287698721,0,1.01716028905068
7,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,0.15953248404473,0,0.298221403477083,0,-1.10225324555658
8,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,-1.42303120630637,0,-0.789681083791623,0,-0.940928775348215
9,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,-1.06363509948752,0,0.94971725641616,0,0.840393660447045
10,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,-0.262663965094573,0,0.224886403111212,0,-1.01993652696525
11,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,1.33145588419503,0,-0.282864275459605,0,1.01716028905068
12,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,-0.213256385861332,0,0.97328711993335,0,0.803658336851402
13,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,-0.192429065322063,0,0.120694304985803,0,0.947779226930537
14,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,0.736945681744958,0,-0.500227416950989,0,1.01716028905068
15,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,1.33131683143122,0,-0.283777728518125,0,1.01716028905068
16,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,0.389764702900213,0,0.105977168527824,0,-1.01993652696525
17,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,1.54525531268407,0,0.604705072288599,0,-1.01993652696525
18,0,0.960288418212925,0,0,0,0,0,-0.960288418212901,0.960288418212902,0,0.984918315182359,0,-0.428466691802052,0,1.01716028905068
19,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,-0.64151762985667,0,-0.179128755176413,0,-0.940928775348215
20,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,-1.96587999331335,0,0.344083568870005,0,-1.18823809724996
21,0,-1.04031245306398,0,0,0,0,0,1.04031245306399,-1.04031245306399,0,-2.06465921457383,0,0.927284222859809,0,-3.62555356581435
