instances,instance_hardness
1,0.030000000000000027
2,0.09999999999999998
3,0.35
4,0.24
5,0.4
6,0.14
7,0.12
8,0.010000000000000009
9,0.49
10,0.0
11,0.16000000000000003
12,0.39
13,0.06999999999999995
14,0.65
15,0.050000000000000044
16,0.42000000000000004
17,0.13
18,0.55
19,0.47
20,0.6599999999999999
21,0.71
22,0.54
23,0.12
24,0.09999999999999998
25,0.18000000000000005
26,0.010000000000000009
27,0.32999999999999996
28,0.16000000000000003
29,0.09999999999999998
30,0.42000000000000004
31,0.43999999999999995
32,0.15000000000000002
33,0.52
34,0.17000000000000004
35,0.15000000000000002
36,0.51
37,0.040000000000000036
38,0.43999999999999995
39,0.20999999999999996
40,0.010000000000000009
41,0.24
42,0.16000000000000003
43,0.30000000000000004
44,0.94
45,0.06000000000000005
46,0.050000000000000044
47,0.28
48,0.48
49,0.36
50,0.36
51,0.16000000000000003
52,0.08999999999999997
53,0.010000000000000009
54,0.32999999999999996
55,0.45999999999999996
56,0.30000000000000004
57,0.050000000000000044
58,0.86
59,0.17000000000000004
60,0.28
61,0.27
62,0.28
63,0.61
64,0.71
65,0.28
66,0.51
67,0.06000000000000005
68,0.08999999999999997
69,0.17000000000000004
70,0.87
71,0.35
72,0.37
73,0.38
74,0.33999999999999997
75,0.040000000000000036
76,0.72
77,0.040000000000000036
78,0.06000000000000005
79,0.30000000000000004
80,0.15000000000000002
81,0.040000000000000036
82,0.010000000000000009
83,0.0
84,0.20999999999999996
85,0.41000000000000003
86,0.21999999999999997
87,0.19999999999999996
88,0.20999999999999996
89,0.20999999999999996
90,0.42000000000000004
91,0.030000000000000027
92,0.12
93,0.35
94,0.5700000000000001
95,0.030000000000000027
96,0.19999999999999996
97,0.040000000000000036
98,0.19999999999999996
99,0.08999999999999997
100,0.020000000000000018
101,0.41000000000000003
102,0.0
103,0.7
104,0.020000000000000018
105,0.6699999999999999
106,0.08999999999999997
107,0.030000000000000027
108,0.010000000000000009
