24,1,1,1,186,938,0,21,43,20407,0,1133,24,0,0,2,11,22,99,87,1,0
16,5,1,1,79,366,0,14,25,5332,0,296,16,0,0,1,11,14,42,37,9,0
15,4,3,2,86,457,0,14,31,6740,0,374,14,5,1,7,18,22,50,36,7,0
10,4,3,3,45,213,0,11,18,2534,0,140,10,0,0,1,14,13,23,22,7,0
6,1,1,1,11,34,0,2,17,69,0,3,6,0,0,0,4,5,6,5,1,0
9,2,1,1,48,200,0,11,17,2301,0,127,9,0,0,4,9,9,25,23,3,0
4,1,1,1,5,11,0,1,7,17,0,0,4,0,0,0,3,2,3,2,1,0
36,3,1,1,254,1447,0,23,61,34338,0,1907,34,2,2,10,15,37,137,117,5,0
5,1,1,1,17,62,0,4,15,256,0,14,5,9,0,3,7,6,10,7,1,0
8,4,1,4,28,106,0,4,23,479,0,26,5,5,3,6,6,8,16,12,7,0
3,1,1,1,7,19,0,2,9,39,0,2,3,1,0,1,4,3,4,3,1,0
22,5,5,4,100,535,0,14,36,7779,0,432,22,0,0,13,17,24,59,41,9,0
7,3,3,2,24,96,0,8,10,844,0,46,7,0,0,1,11,5,16,8,5,0
5,1,1,1,15,53,0,6,8,322,0,17,5,0,0,0,8,4,9,6,1,0
5,1,1,1,10,30,0,4,6,135,0,7,5,0,0,2,6,2,7,3,1,0
4,1,1,1,11,34,0,2,13,87,0,4,4,3,0,3,5,4,7,4,1,0
48,3,1,1,284,1815,0,15,120,27428,0,1523,46,8,2,13,15,69,145,139,5,0
142,73,15,60,1061,8015,0,60,133,481241,2,26735,139,0,3,8,36,152,554,507,143,0
18,6,6,3,78,386,0,13,29,5091,0,282,18,0,0,9,14,17,46,32,11,0
16,3,1,3,60,300,0,9,32,2800,0,155,16,0,0,8,14,18,36,24,5,0
14,1,1,1,99,499,0,12,38,6420,0,356,14,10,0,22,12,21,54,45,1,0
13,3,3,3,43,202,0,5,35,1136,0,63,13,0,0,1,10,16,25,18,5,0
30,5,3,3,136,755,0,14,51,10977,0,609,27,12,3,7,15,32,74,62,9,0
5,1,1,1,13,43,0,3,11,161,0,9,4,1,1,2,6,4,8,5,1,0
15,2,1,2,57,279,0,16,16,4614,0,256,15,0,0,1,18,12,35,22,3,0
0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
7,1,1,1,23,79,0,6,12,487,0,27,7,0,0,0,7,4,16,7,1,0
8,3,1,2,39,168,0,13,12,2347,0,130,8,0,0,2,13,7,24,15,5,0
152,21,4,5,430,2850,0,33,85,94929,0,5273,150,62,2,39,26,73,243,187,41,0
11,3,1,1,22,83,0,4,17,390,0,21,11,0,0,1,8,6,15,7,4,0
21,6,6,2,87,438,0,20,21,8859,0,492,20,0,1,1,17,16,49,38,11,0
54,7,1,6,154,894,0,20,43,18517,0,1028,52,12,2,12,22,34,90,64,12,0
29,5,5,5,164,920,0,20,44,18980,0,1054,29,9,0,7,18,31,93,71,9,0
12,2,1,1,49,215,0,14,15,3013,0,167,12,1,0,3,12,9,28,21,3,0
32,4,1,4,102,556,0,13,41,7538,0,418,31,12,1,6,17,27,59,43,7,0
0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
12,10,1,9,118,567,0,32,17,18654,0,1036,12,0,0,4,15,13,61,57,19,0
6,1,1,1,30,139,0,6,21,905,0,50,6,1,0,7,13,12,18,12,1,0
39,8,1,8,175,977,0,24,39,24336,0,1352,39,3,0,5,18,30,92,83,15,0
0,1,1,1,6,15,0,2,6,38,0,2,0,0,0,0,5,1,5,1,1,0
38,6,6,6,244,1447,0,21,66,31422,0,1745,38,6,0,20,19,42,148,96,11,0
13,4,4,1,41,185,0,10,17,1928,0,107,13,0,0,5,13,10,25,16,7,0
4,3,3,3,23,85,0,6,12,574,0,31,4,0,0,0,9,4,17,6,5,0
31,14,1,14,108,596,0,12,46,7669,0,426,31,0,0,0,18,28,68,40,15,0
