package,time_elapsed,classifier,sample_size,strategy,dataset,accuracy_history,f1_history
Pyhard,34.322033000000374,5NN,0.0021920210434020165,Lowest Harmfulness Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,34.322033000000374,5NN,0.0021920210434020165,Lowest Harmfulness Sampling,1043_ada_agnostic,0.7160220994475138,0.6675854736674025
Pyhard,33.542277299999114,5NN,0.0021920210434020165,Highest Usefulness Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.542277299999114,5NN,0.0021920210434020165,Highest Usefulness Sampling,1043_ada_agnostic,0.4585635359116022,0.49088567237690706
Pyhard,32.70469549999871,5NN,0.0021920210434020165,"Lowest H, Highest U Sampling",1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,32.70469549999871,5NN,0.0021920210434020165,"Lowest H, Highest U Sampling",1043_ada_agnostic,0.5558011049723757,0.5777425456185146
Pyhard,32.32170469999983,5NN,0.0021920210434020165,Highest LSC Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,32.32170469999983,5NN,0.0021920210434020165,Highest LSC Sampling,1043_ada_agnostic,0.5889502762430939,0.6155306213041875
Pyhard,32.86917910000011,5NN,0.0021920210434020165,Lowest N2 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,32.86917910000011,5NN,0.0021920210434020165,Lowest N2 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.13292630000069,5NN,0.0021920210434020165,Lowest F3 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.13292630000069,5NN,0.0021920210434020165,Lowest F3 Sampling,1043_ada_agnostic,0.7303867403314918,0.638932488337455
Pyhard,33.602045100000396,5NN,0.0021920210434020165,Lowest Harmfulness Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.602045100000396,5NN,0.0021920210434020165,Lowest Harmfulness Sampling,1043_ada_agnostic,0.7690607734806629,0.7197743134798434
Pyhard,33.59185600000092,5NN,0.0021920210434020165,Highest Usefulness Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.59185600000092,5NN,0.0021920210434020165,Highest Usefulness Sampling,1043_ada_agnostic,0.5337016574585636,0.5544781992183756
Pyhard,33.666326700000354,5NN,0.0021920210434020165,"Lowest H, Highest U Sampling",1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.666326700000354,5NN,0.0021920210434020165,"Lowest H, Highest U Sampling",1043_ada_agnostic,0.6298342541436464,0.6433371267365983
Pyhard,37.51744780000081,5NN,0.0021920210434020165,Highest LSC Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,37.51744780000081,5NN,0.0021920210434020165,Highest LSC Sampling,1043_ada_agnostic,0.7359116022099448,0.703239289286423
Pyhard,35.25564099999974,5NN,0.0021920210434020165,Lowest N2 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,35.25564099999974,5NN,0.0021920210434020165,Lowest N2 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,35.299592100000154,5NN,0.0021920210434020165,Lowest F3 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,35.299592100000154,5NN,0.0021920210434020165,Lowest F3 Sampling,1043_ada_agnostic,0.7359116022099448,0.6705035877798488
Pyhard,33.00163840000096,5NN,0.0021920210434020165,Lowest Harmfulness Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.00163840000096,5NN,0.0021920210434020165,Lowest Harmfulness Sampling,1043_ada_agnostic,0.7679558011049724,0.7279154469736387
Pyhard,33.05755549999958,5NN,0.0021920210434020165,Highest Usefulness Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.05755549999958,5NN,0.0021920210434020165,Highest Usefulness Sampling,1043_ada_agnostic,0.3834254143646409,0.39629184041364435
Pyhard,33.204328499999974,5NN,0.0021920210434020165,"Lowest H, Highest U Sampling",1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.204328499999974,5NN,0.0021920210434020165,"Lowest H, Highest U Sampling",1043_ada_agnostic,0.7226519337016575,0.7188917343604756
Pyhard,33.522463600000265,5NN,0.0021920210434020165,Highest LSC Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.522463600000265,5NN,0.0021920210434020165,Highest LSC Sampling,1043_ada_agnostic,0.5292817679558011,0.5462209921920699
Pyhard,33.75509029999921,5NN,0.0021920210434020165,Lowest N2 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,33.75509029999921,5NN,0.0021920210434020165,Lowest N2 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,34.22328229999948,5NN,0.0021920210434020165,Lowest F3 Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,34.22328229999948,5NN,0.0021920210434020165,Lowest F3 Sampling,1043_ada_agnostic,0.6928176795580111,0.7138030394067735
Pyhard,32.864831999999296,5NN,0.0021920210434020165,Lowest Harmfulness Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,32.864831999999296,5NN,0.0021920210434020165,Lowest Harmfulness Sampling,1043_ada_agnostic,0.7502762430939226,0.6567840193308145
Pyhard,32.95550519999961,5NN,0.0021920210434020165,Highest Usefulness Sampling,1043_ada_agnostic,0.7524861878453039,0.6462081890575686
Pyhard,32.95550519999961,5NN,0.0021920210434020165,Highest Usefulness Sampling,1043_ada_agnostic,0.5558011049723757,0.574660364231635
Pyhard,33.030301700000564,5NN,0.0021920210434020165,"Lowest H, Highest U Sampling",1043_ada_agnostic,0.7524861878453039,0.6462081890575686
