4,2,0,7,30,20,2,20,1
4,7,0,27,87,35,3,79,0
2,1,0,1,10,58,2,15,1
19,1,0,26,27,46,8,195,1
15,1,1,25,23,47,10,144,1
41,1,1,32,60,60,31,210,1
2,1,0,15,10,0,2,69,0
14,2,0,18,41,30,13,158,1
6,2,0,11,32,48,2,45,1
15,1,0,15,23,54,15,140,1
0,0,1,1,0,0,0,66,1
13,1,5,5,21,22,13,59,1
0,1,0,1,8,0,0,3,1
8,1,0,5,16,32,5,85,0
17,1,0,16,25,47,9,159,1
3,0,6,0,3,64,0,3,0
2,2,0,4,28,0,1,14,1
30,1,0,7,41,24,26,174,0
2,2,0,2,21,0,2,8,0
3,2,0,3,19,10,0,20,0
9,5,0,30,68,46,3,183,0
3,1,0,8,11,4,3,80,1
18,1,14,11,26,53,17,84,1
36,2,1,33,53,60,21,205,0
16,1,0,8,24,47,14,125,0
2,1,0,13,10,0,2,51,0
4,1,0,3,12,0,4,14,0
6,7,0,28,89,27,3,116,1
0,0,10,1,0,0,0,151,1
4,6,0,26,82,21,1,155,0
4,2,0,3,19,35,4,25,0
14,1,0,31,22,41,10,214,1
9,2,0,20,35,37,7,88,1
10,1,0,13,18,43,6,168,1
13,2,0,9,59,40,11,109,1
4,2,0,7,30,0,2,43,1
1,4,0,1,38,0,1,4,1
5,2,0,11,28,22,4,38,1
2,7,0,6,105,20,2,45,0
39,1,0,42,54,58,29,202,1
10,1,0,23,18,29,7,153,0
2,8,0,3,91,0,2,8,0
3,1,0,10,11,0,2,39,0
3,6,0,18,81,19,1,123,0
4,1,0,0,12,0,3,15,0
8,1,0,26,16,20,4,160,1
7,2,0,34,19,0,5,144,1
6,1,0,33,14,35,2,156,0
7,2,0,11,23,32,3,107,0
4,2,0,3,19,46,4,21,1
27,2,0,4,45,54,2,211,1
5,1,0,6,13,20,3,53,0
3,7,0,22,86,32,3,89,1
8,7,0,13,112,42,7,89,0
28,1,0,8,39,45,20,185,1
3,2,0,6,29,0,2,29,1
5,1,0,31,13,9,3,95,0
3,2,0,17,56,6,2,59,0
12,1,0,4,20,19,0,65,1
5,2,0,5,21,37,0,76,0
4,2,0,9,30,20,2,63,1
2,2,0,2,21,0,2,31,0
8,1,0,22,16,3,7,119,1
5,2,0,6,31,31,3,46,1
2,1,0,15,10,20,1,76,0
5,6,12,5,84,45,4,84,0
3,2,0,4,19,0,0,29,0
4,1,0,22,12,20,4,149,1
4,0,2,1,4,0,4,4,0
3,6,0,5,81,10,2,65,1
10,2,0,26,36,55,1,128,1
6,8,0,10,96,32,4,71,0
13,2,0,16,61,36,8,139,1
